Hugo_Symbol	All	TNBC	ER+	ER-	LumA	LumB	Basal	Her2
PRR4	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.0	0.0	0.0	0.018867924528301886
PRR5	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.0	0.008928571428571428	0.0	0.0
PRRT1	0.0021598272138228943	0.0	0.0	0.009708737864077669	0.0	0.0	0.012345679012345678	0.0
PRRT2	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.004784688995215311	0.0	0.0	0.0
PRRT4	0.0021598272138228943	0.0026666666666666666	0.0	0.009708737864077669	0.0	0.0	0.0	0.018867924528301886
PRRX1	0.01079913606911447	0.013333333333333334	0.014124293785310734	0.0	0.004784688995215311	0.026785714285714284	0.0	0.018867924528301886
PRSS23	0.0021598272138228943	0.0	0.0	0.009708737864077669	0.0	0.0	0.012345679012345678	0.0
PRSS33	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.004784688995215311	0.0	0.0	0.0
PRSS35	0.0021598272138228943	0.0	0.0	0.009708737864077669	0.0	0.0	0.012345679012345678	0.0
PRSS36	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.0	0.008928571428571428	0.0	0.0
PRSS37	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.004784688995215311	0.0	0.0	0.0
PRSS42	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.0	0.008928571428571428	0.0	0.0
PRSS50	0.0021598272138228943	0.0	0.0	0.009708737864077669	0.004784688995215311	0.0	0.0	0.0
PRSS8	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.004784688995215311	0.0	0.0	0.0
PRSSL1	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.0	0.0	0.0	0.018867924528301886
PRTG	0.008639308855291577	0.008	0.00847457627118644	0.009708737864077669	0.0	0.026785714285714284	0.012345679012345678	0.0
PRUNE	0.0064794816414686825	0.0026666666666666666	0.002824858757062147	0.019417475728155338	0.004784688995215311	0.0	0.024691358024691357	0.0
PRUNE2	0.01079913606911447	0.010666666666666666	0.011299435028248588	0.0	0.009569377990430622	0.017857142857142856	0.012345679012345678	0.0
PRX	0.004319654427645789	0.005333333333333333	0.005649717514124294	0.0	0.004784688995215311	0.008928571428571428	0.0	0.0
PSD	0.0064794816414686825	0.005333333333333333	0.005649717514124294	0.009708737864077669	0.0	0.017857142857142856	0.012345679012345678	0.0
PSD2	0.0021598272138228943	0.0	0.0	0.009708737864077669	0.0	0.0	0.012345679012345678	0.0
PSEN1	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.0	0.0	0.0	0.018867924528301886
PSEN2	0.0064794816414686825	0.008	0.00847457627118644	0.0	0.009569377990430622	0.0	0.0	0.018867924528301886
PSG1	0.004319654427645789	0.005333333333333333	0.005649717514124294	0.0	0.004784688995215311	0.0	0.0	0.018867924528301886
PSG11	0.004319654427645789	0.005333333333333333	0.005649717514124294	0.0	0.004784688995215311	0.0	0.012345679012345678	0.0
PSG3	0.004319654427645789	0.005333333333333333	0.005649717514124294	0.0	0.0	0.017857142857142856	0.0	0.0
